exposure_id,customer_id,exposure_time,campaign_type,coupon_cost
99782855_offer_151,99782855,2013-03-28 10:43:00,TypeA,7500
99814147_offer_151,99814147,2013-03-28 09:19:00,TypeA,7500
100453554_offer_151,100453554,2013-03-28 09:05:00,TypeA,7500
100568149_offer_151,100568149,2013-04-16 10:08:00,TypeA,7500
100656827_offer_151,100656827,2013-04-02 10:24:00,TypeA,7500
100787762_offer_151,100787762,2013-04-23 09:07:00,TypeB,20000
100931022_offer_151,100931022,2013-04-18 10:02:00,TypeA,7500
101047128_offer_151,101047128,2013-04-01 11:48:00,TypeB,15000
101132595_offer_151,101132595,2013-03-26 09:42:00,TypeA,7500
101549837_offer_151,101549837,2013-03-27 11:26:00,TypeA,7500
101988510_offer_151,101988510,2013-04-20 09:55:00,TypeA,7500
102146923_offer_151,102146923,2013-03-31 10:11:00,TypeA,7500
102767850_offer_151,102767850,2013-04-25 10:06:00,TypeB,20000
103209315_offer_151,103209315,2013-04-06 11:07:00,TypeA,10000
103311116_offer_151,103311116,2013-03-27 09:57:00,TypeA,7500
103370612_offer_151,103370612,2013-04-21 11:50:00,TypeA,7500
103526202_offer_151,103526202,2013-04-05 10:47:00,TypeA,10000
103623524_offer_151,103623524,2013-04-23 11:51:00,TypeB,20000
103933295_offer_151,103933295,2013-03-27 11:48:00,TypeA,7500
104019697_offer_151,104019697,2013-04-05 11:55:00,TypeA,10000
104051988_offer_151,104051988,2013-04-26 09:07:00,TypeB,20000
104210875_offer_151,104210875,2013-04-23 10:18:00,TypeB,20000
104308389_offer_151,104308389,2013-04-23 11:58:00,TypeB,20000
104316579_offer_151,104316579,2013-04-04 11:32:00,TypeA,10000
104480050_offer_151,104480050,2013-04-14 10:46:00,TypeB,15000
104561525_offer_151,104561525,2013-04-27 09:26:00,TypeB,20000
104641432_offer_151,104641432,2013-03-27 11:11:00,TypeA,7500
104930774_offer_151,104930774,2013-04-16 09:30:00,TypeA,7500
105051432_offer_151,105051432,2013-04-28 09:14:00,TypeB,20000
105057732_offer_151,105057732,2013-03-29 09:38:00,TypeA,7500
105284964_offer_151,105284964,2013-04-05 10:05:00,TypeA,10000
105761090_offer_151,105761090,2013-04-27 11:50:00,TypeB,20000
105879397_offer_151,105879397,2013-03-29 10:19:00,TypeA,7500
106037120_offer_151,106037120,2013-04-30 09:02:00,TypeB,20000
106072982_offer_151,106072982,2013-03-26 09:37:00,TypeA,7500
106399228_offer_151,106399228,2013-04-10 09:19:00,TypeB,12500
106569013_offer_151,106569013,2013-03-26 09:21:00,TypeA,7500
106595059_offer_151,106595059,2013-04-23 09:10:00,TypeB,20000
106650303_offer_151,106650303,2013-04-24 11:21:00,TypeB,20000
106907548_offer_151,106907548,2013-04-07 10:40:00,TypeA,10000
106956823_offer_151,106956823,2013-03-28 09:06:00,TypeA,7500
107054468_offer_151,107054468,2013-04-25 09:09:00,TypeA,7500
107175080_offer_151,107175080,2013-03-26 10:10:00,TypeA,7500
107428535_offer_151,107428535,2013-03-27 09:19:00,TypeA,7500
107456394_offer_151,107456394,2013-03-26 09:47:00,TypeA,7500
107480689_offer_151,107480689,2013-04-01 11:14:00,TypeA,7500
107987715_offer_151,107987715,2013-04-03 10:59:00,TypeB,12500
108470016_offer_151,108470016,2013-03-29 11:01:00,TypeA,7500
108493301_offer_151,108493301,2013-04-26 10:17:00,TypeB,20000
108559330_offer_151,108559330,2013-04-21 11:31:00,TypeA,10000
108736062_offer_151,108736062,2013-03-31 09:52:00,TypeA,7500
109206241_offer_151,109206241,2013-03-25 10:01:00,TypeA,7500
110970589_offer_151,110970589,2013-04-04 11:23:00,TypeA,10000
112636518_offer_151,112636518,2013-04-17 09:34:00,TypeA,7500
112761895_offer_151,112761895,2013-04-04 09:47:00,TypeA,10000
113193562_offer_151,113193562,2013-04-24 09:17:00,TypeB,20000
113275440_offer_151,113275440,2013-04-17 09:32:00,TypeB,15000
113914791_offer_151,113914791,2013-04-04 10:33:00,TypeB,12500
114772644_offer_151,114772644,2013-04-17 11:39:00,TypeB,15000
114831196_offer_151,114831196,2013-03-25 11:52:00,TypeA,7500
114961216_offer_151,114961216,2013-04-29 09:30:00,TypeB,20000
115025785_offer_151,115025785,2013-04-14 09:45:00,TypeB,15000
115666185_offer_151,115666185,2013-03-26 10:29:00,TypeA,7500
116077314_offer_151,116077314,2013-04-04 09:42:00,TypeA,7500
116666140_offer_151,116666140,2013-04-23 10:26:00,TypeB,20000
117136617_offer_151,117136617,2013-04-07 09:21:00,TypeA,10000
118165952_offer_151,118165952,2013-04-07 10:03:00,TypeA,10000
118467815_offer_151,118467815,2013-04-19 09:16:00,TypeA,7500
118510054_offer_151,118510054,2013-03-28 10:45:00,TypeA,7500
119418811_offer_151,119418811,2013-04-25 11:21:00,TypeB,20000
119716043_offer_151,119716043,2013-03-27 11:09:00,TypeA,7500
120579091_offer_151,120579091,2013-04-24 09:48:00,TypeB,20000
120592701_offer_151,120592701,2013-04-06 10:43:00,TypeA,10000
120684040_offer_151,120684040,2013-04-21 11:05:00,TypeA,7500
120827135_offer_151,120827135,2013-03-25 09:50:00,TypeA,7500
120954019_offer_151,120954019,2013-03-26 11:46:00,TypeA,7500
120959187_offer_151,120959187,2013-04-23 10:43:00,TypeB,20000
120998507_offer_151,120998507,2013-03-29 10:16:00,TypeA,7500
121033897_offer_151,121033897,2013-03-25 10:42:00,TypeA,7500
121072019_offer_151,121072019,2013-03-27 09:24:00,TypeA,7500
121112512_offer_151,121112512,2013-03-29 09:21:00,TypeA,7500
121149913_offer_151,121149913,2013-03-30 11:21:00,TypeB,12500
121232619_offer_151,121232619,2013-03-30 09:46:00,TypeA,7500
121258165_offer_151,121258165,2013-03-25 10:40:00,TypeA,7500
121283388_offer_151,121283388,2013-03-28 10:20:00,TypeA,7500
121320985_offer_151,121320985,2013-03-31 11:53:00,TypeA,7500
121356385_offer_151,121356385,2013-04-23 11:33:00,TypeB,20000
121380657_offer_151,121380657,2013-03-30 10:50:00,TypeA,7500
121420930_offer_151,121420930,2013-04-23 11:40:00,TypeB,20000
121438185_offer_151,121438185,2013-04-23 09:55:00,TypeB,20000
121443592_offer_151,121443592,2013-04-23 09:48:00,TypeB,20000
121499444_offer_151,121499444,2013-03-25 10:57:00,TypeA,7500
121510624_offer_151,121510624,2013-03-29 10:35:00,TypeA,7500
121536788_offer_151,121536788,2013-03-26 11:48:00,TypeA,7500
121657542_offer_151,121657542,2013-03-26 10:09:00,TypeA,7500
121665015_offer_151,121665015,2013-03-28 09:09:00,TypeA,7500
121682219_offer_151,121682219,2013-03-15 11:05:00,TypeB,20000
121692037_offer_151,121692037,2013-04-04 11:57:00,TypeA,10000
121741444_offer_151,121741444,2013-03-28 09:50:00,TypeB,20000
121774339_offer_151,121774339,2013-04-30 11:51:00,TypeB,20000
121789872_offer_151,121789872,2013-04-23 09:28:00,TypeB,20000
121847084_offer_151,121847084,2013-04-04 09:03:00,TypeB,15000
121880519_offer_151,121880519,2013-04-06 11:15:00,TypeA,10000
121994604_offer_151,121994604,2013-04-17 10:07:00,TypeA,7500
122025370_offer_151,122025370,2013-04-23 11:50:00,TypeB,20000
122108517_offer_151,122108517,2013-04-23 09:11:00,TypeB,20000
122128385_offer_151,122128385,2013-04-23 11:39:00,TypeB,15000
122178401_offer_151,122178401,2013-03-30 10:59:00,TypeB,12500
122184391_offer_151,122184391,2013-03-28 09:36:00,TypeA,7500
122211499_offer_151,122211499,2013-03-25 09:16:00,TypeA,7500
122239916_offer_151,122239916,2013-04-22 11:33:00,TypeA,10000
122266813_offer_151,122266813,2013-04-24 10:16:00,TypeB,20000
122279516_offer_151,122279516,2013-04-23 10:33:00,TypeB,20000
122280118_offer_151,122280118,2013-03-30 09:42:00,TypeA,7500
122300720_offer_151,122300720,2013-03-30 10:37:00,TypeA,7500
122314160_offer_151,122314160,2013-04-25 10:17:00,TypeB,20000
123033045_offer_151,123033045,2013-03-25 10:41:00,TypeA,7500
123147764_offer_151,123147764,2013-03-25 11:35:00,TypeA,7500
123229049_offer_151,123229049,2013-03-30 09:14:00,TypeB,12500
123257342_offer_151,123257342,2013-04-16 11:14:00,TypeA,7500
123283152_offer_151,123283152,2013-03-25 09:01:00,TypeA,7500
123452057_offer_151,123452057,2013-03-26 10:35:00,TypeA,7500
123633767_offer_151,123633767,2013-04-30 10:11:00,TypeB,20000
123742222_offer_151,123742222,2013-03-26 09:32:00,TypeA,7500
123791909_offer_151,123791909,2013-03-29 10:20:00,TypeA,7500
123795513_offer_151,123795513,2013-04-23 10:20:00,TypeB,20000
123866394_offer_151,123866394,2013-04-26 10:49:00,TypeB,20000
123895420_offer_151,123895420,2013-04-04 11:38:00,TypeA,10000
123986268_offer_151,123986268,2013-03-30 11:36:00,TypeA,7500
124006410_offer_151,124006410,2013-04-01 10:58:00,TypeB,12500
124081013_offer_151,124081013,2013-03-25 09:19:00,TypeA,7500
124288922_offer_151,124288922,2013-03-30 11:59:00,TypeA,7500
124311535_offer_151,124311535,2013-04-24 10:31:00,TypeC,30000
124436123_offer_151,124436123,2013-04-29 11:36:00,TypeB,20000
124440990_offer_151,124440990,2013-03-28 10:10:00,TypeA,7500
124498568_offer_151,124498568,2013-04-23 09:50:00,TypeB,15000
124551878_offer_151,124551878,2013-03-29 10:28:00,TypeA,7500
124734135_offer_151,124734135,2013-03-26 10:03:00,TypeA,7500
124782672_offer_151,124782672,2013-03-27 11:09:00,TypeA,7500
124859050_offer_151,124859050,2013-03-25 10:57:00,TypeA,7500
124868721_offer_151,124868721,2013-03-28 11:40:00,TypeA,7500
124869516_offer_151,124869516,2013-03-26 09:12:00,TypeA,7500
124905210_offer_151,124905210,2013-03-28 10:36:00,TypeA,7500
124947662_offer_151,124947662,2013-04-09 10:09:00,TypeA,7500
124955123_offer_151,124955123,2013-03-26 09:25:00,TypeA,7500
124959162_offer_151,124959162,2013-03-31 11:23:00,TypeA,7500
125011383_offer_151,125011383,2013-03-27 11:17:00,TypeA,7500
125069407_offer_151,125069407,2013-03-25 11:02:00,TypeA,7500
125106950_offer_151,125106950,2013-04-27 10:33:00,TypeB,20000
125146180_offer_151,125146180,2013-03-29 09:30:00,TypeA,7500
125148192_offer_151,125148192,2013-04-01 10:28:00,TypeB,12500
125188942_offer_151,125188942,2013-03-30 09:06:00,TypeA,7500
125209407_offer_151,125209407,2013-04-07 09:28:00,TypeA,10000
125380963_offer_151,125380963,2013-03-26 11:25:00,TypeA,7500
125459460_offer_151,125459460,2013-04-19 11:11:00,TypeB,15000
125524964_offer_151,125524964,2013-03-27 11:04:00,TypeA,7500
125535105_offer_151,125535105,2013-03-27 10:30:00,TypeA,7500
125555523_offer_151,125555523,2013-03-28 11:16:00,TypeA,7500
125605108_offer_151,125605108,2013-03-27 09:09:00,TypeA,7500
125655979_offer_151,125655979,2013-03-25 09:47:00,TypeA,7500
125718294_offer_151,125718294,2013-04-28 11:28:00,TypeB,20000
125831159_offer_151,125831159,2013-04-26 11:36:00,TypeB,20000
125841983_offer_151,125841983,2013-03-30 11:25:00,TypeA,7500
125910220_offer_151,125910220,2013-04-23 10:49:00,TypeB,12500
125935223_offer_151,125935223,2013-04-05 10:05:00,TypeA,10000
125977371_offer_151,125977371,2013-03-26 11:29:00,TypeA,7500
126013128_offer_151,126013128,2013-03-26 10:05:00,TypeA,7500
126028355_offer_151,126028355,2013-04-23 10:53:00,TypeB,20000
126073456_offer_151,126073456,2013-04-03 10:46:00,TypeA,7500
126251721_offer_151,126251721,2013-04-25 11:01:00,TypeB,20000
126252869_offer_151,126252869,2013-03-25 11:32:00,TypeA,7500
126255340_offer_151,126255340,2013-03-29 10:35:00,TypeA,7500
126280328_offer_151,126280328,2013-04-23 09:50:00,TypeB,20000
126370523_offer_151,126370523,2013-03-27 09:03:00,TypeA,7500
126409696_offer_151,126409696,2013-04-23 11:10:00,TypeB,20000
126432639_offer_151,126432639,2013-04-05 11:03:00,TypeA,10000
126445493_offer_151,126445493,2013-03-26 10:47:00,TypeA,7500
126540148_offer_151,126540148,2013-04-27 09:31:00,TypeB,20000
126546186_offer_151,126546186,2013-03-25 10:50:00,TypeA,7500
126580341_offer_151,126580341,2013-03-25 11:37:00,TypeA,7500
126585633_offer_151,126585633,2013-03-28 10:36:00,TypeA,7500
126802499_offer_151,126802499,2013-03-29 11:24:00,TypeA,7500
126807791_offer_151,126807791,2013-03-26 09:08:00,TypeA,7500
126831894_offer_151,126831894,2013-03-26 11:31:00,TypeA,7500
126901861_offer_151,126901861,2013-03-28 10:12:00,TypeA,7500
127651952_offer_151,127651952,2013-03-27 11:50:00,TypeB,15000
128757147_offer_151,128757147,2013-03-27 09:18:00,TypeB,15000
131596126_offer_151,131596126,2013-04-06 10:07:00,TypeA,7500
132144231_offer_151,132144231,2013-03-25 10:57:00,TypeA,7500
132903490_offer_151,132903490,2013-04-04 10:23:00,TypeA,7500
132907524_offer_151,132907524,2013-04-05 09:24:00,TypeA,10000
132913511_offer_151,132913511,2013-04-02 10:37:00,TypeA,7500
133169196_offer_151,133169196,2013-03-29 11:17:00,TypeA,7500
133184264_offer_151,133184264,2013-03-30 10:13:00,TypeB,12500
133206652_offer_151,133206652,2013-04-23 11:39:00,TypeB,20000
133241995_offer_151,133241995,2013-03-25 09:12:00,TypeA,7500
133321371_offer_151,133321371,2013-03-28 11:21:00,TypeA,7500
133329309_offer_151,133329309,2013-03-27 11:20:00,TypeA,7500
133349015_offer_151,133349015,2013-03-27 11:31:00,TypeA,7500
133517245_offer_151,133517245,2013-03-25 11:47:00,TypeA,7500
133519392_offer_151,133519392,2013-04-06 09:32:00,TypeA,7500
133524028_offer_151,133524028,2013-04-19 09:04:00,TypeA,7500
133566312_offer_151,133566312,2013-03-30 09:09:00,TypeA,7500
133578756_offer_151,133578756,2013-04-01 09:44:00,TypeB,12500
133750708_offer_151,133750708,2013-04-04 10:20:00,TypeA,10000
133776267_offer_151,133776267,2013-03-26 11:25:00,TypeA,7500
133956026_offer_151,133956026,2013-03-25 09:34:00,TypeA,7500
133991242_offer_151,133991242,2013-03-25 11:15:00,TypeA,7500
134091076_offer_151,134091076,2013-03-28 11:01:00,TypeA,7500
134238273_offer_151,134238273,2013-03-26 10:10:00,TypeA,7500
134372076_offer_151,134372076,2013-04-23 11:48:00,TypeC,30000
134669160_offer_151,134669160,2013-04-22 10:00:00,TypeA,10000
134678364_offer_151,134678364,2013-04-05 11:51:00,TypeA,10000
134836754_offer_151,134836754,2013-03-31 09:30:00,TypeA,7500
134911993_offer_151,134911993,2013-04-06 11:22:00,TypeA,10000
135019886_offer_151,135019886,2013-03-30 11:07:00,TypeA,7500
135117158_offer_151,135117158,2013-03-25 10:54:00,TypeA,7500
135211378_offer_151,135211378,2013-03-26 11:37:00,TypeA,7500
135250657_offer_151,135250657,2013-03-28 10:52:00,TypeA,7500
135290245_offer_151,135290245,2013-03-28 10:48:00,TypeA,7500
135332536_offer_151,135332536,2013-04-23 09:46:00,TypeB,20000
135426763_offer_151,135426763,2013-03-25 09:44:00,TypeA,7500
135575039_offer_151,135575039,2013-03-26 11:54:00,TypeA,7500
135591389_offer_151,135591389,2013-04-19 09:34:00,TypeA,7500
135633114_offer_151,135633114,2013-03-29 11:50:00,TypeB,12500
135650107_offer_151,135650107,2013-03-27 10:32:00,TypeA,7500
135655972_offer_151,135655972,2013-04-05 10:18:00,TypeA,10000
135832715_offer_151,135832715,2013-03-25 09:26:00,TypeA,7500
136132371_offer_151,136132371,2013-04-25 11:47:00,TypeB,20000
136194706_offer_151,136194706,2013-04-02 11:41:00,TypeA,7500
136288534_offer_151,136288534,2013-04-20 11:06:00,TypeB,12500
136466468_offer_151,136466468,2013-03-30 10:15:00,TypeA,7500
136522236_offer_151,136522236,2013-03-28 09:10:00,TypeA,7500
136569925_offer_151,136569925,2013-03-25 09:06:00,TypeA,7500
136694932_offer_151,136694932,2013-03-30 11:15:00,TypeA,7500
136827473_offer_151,136827473,2013-04-04 10:52:00,TypeA,7500
136889646_offer_151,136889646,2013-03-25 09:18:00,TypeA,7500
136964337_offer_151,136964337,2013-03-25 11:11:00,TypeA,7500
137129436_offer_151,137129436,2013-03-25 09:53:00,TypeA,7500
137277715_offer_151,137277715,2013-03-30 09:07:00,TypeB,12500
137336971_offer_151,137336971,2013-03-29 11:48:00,TypeA,7500
137512285_offer_151,137512285,2013-03-25 09:33:00,TypeA,7500
137577937_offer_151,137577937,2013-04-01 11:27:00,TypeB,15000
137602295_offer_151,137602295,2013-03-30 09:10:00,TypeA,7500
137618014_offer_151,137618014,2013-03-29 11:34:00,TypeA,7500
137639611_offer_151,137639611,2013-04-05 11:08:00,TypeA,10000
137697105_offer_151,137697105,2013-04-26 09:09:00,TypeB,20000
137892976_offer_151,137892976,2013-04-26 10:42:00,TypeB,20000
137906772_offer_151,137906772,2013-04-05 11:27:00,TypeA,7500
137986636_offer_151,137986636,2013-03-30 10:45:00,TypeB,12500
138043551_offer_151,138043551,2013-04-04 09:36:00,TypeA,10000
138076870_offer_151,138076870,2013-04-26 09:28:00,TypeA,10000
138223530_offer_151,138223530,2013-03-26 10:49:00,TypeA,7500
138242447_offer_151,138242447,2013-03-29 09:32:00,TypeA,7500
138412301_offer_151,138412301,2013-04-25 11:15:00,TypeB,20000
138664405_offer_151,138664405,2013-04-19 11:18:00,TypeA,7500
138788984_offer_151,138788984,2013-04-24 11:23:00,TypeB,20000
138808841_offer_151,138808841,2013-03-30 09:55:00,TypeA,7500
138820027_offer_151,138820027,2013-03-27 10:08:00,TypeA,7500
138952839_offer_151,138952839,2013-03-25 11:12:00,TypeA,7500
139168415_offer_151,139168415,2013-03-27 11:15:00,TypeA,7500
139242547_offer_151,139242547,2013-03-25 10:08:00,TypeA,7500
139391930_offer_151,139391930,2013-04-03 11:14:00,TypeA,7500
139502481_offer_151,139502481,2013-04-08 09:00:00,TypeA,7500
139614009_offer_151,139614009,2013-03-26 11:17:00,TypeA,7500
139623800_offer_151,139623800,2013-03-28 11:55:00,TypeA,7500
139657517_offer_151,139657517,2013-03-25 10:49:00,TypeB,20000
139662731_offer_151,139662731,2013-03-30 11:15:00,TypeB,12500
139678846_offer_151,139678846,2013-04-26 10:47:00,TypeB,20000
139703953_offer_151,139703953,2013-04-05 10:11:00,TypeA,7500
139729139_offer_151,139729139,2013-03-25 11:04:00,TypeA,7500
139733531_offer_151,139733531,2013-03-27 09:35:00,TypeA,7500
139801455_offer_151,139801455,2013-04-06 11:22:00,TypeA,10000
139807952_offer_151,139807952,2013-03-30 09:43:00,TypeB,12500
139827894_offer_151,139827894,2013-03-26 11:38:00,TypeA,7500
139851379_offer_151,139851379,2013-04-23 10:16:00,TypeA,7500
139856503_offer_151,139856503,2013-03-30 10:12:00,TypeA,7500
140015206_offer_151,140015206,2013-03-25 11:55:00,TypeA,7500
140030866_offer_151,140030866,2013-04-23 09:25:00,TypeB,15000
140060109_offer_151,140060109,2013-04-01 10:46:00,TypeB,15000
140146490_offer_151,140146490,2013-03-29 10:53:00,TypeA,7500
140232929_offer_151,140232929,2013-04-19 09:23:00,TypeA,7500
140236260_offer_151,140236260,2013-03-25 09:23:00,TypeA,7500
140309229_offer_151,140309229,2013-03-25 09:13:00,TypeA,7500
140431769_offer_151,140431769,2013-03-31 10:23:00,TypeA,7500
140467471_offer_151,140467471,2013-03-27 09:08:00,TypeA,7500
140650189_offer_151,140650189,2013-04-04 10:52:00,TypeA,10000
140651040_offer_151,140651040,2013-03-29 10:25:00,TypeA,7500
140700907_offer_151,140700907,2013-04-05 11:31:00,TypeA,7500
140723134_offer_151,140723134,2013-03-25 09:25:00,TypeA,7500
140732785_offer_151,140732785,2013-04-23 11:24:00,TypeB,20000
140778048_offer_151,140778048,2013-03-28 09:03:00,TypeA,7500
140807292_offer_151,140807292,2013-04-23 10:04:00,TypeB,20000
140845613_offer_151,140845613,2013-04-07 11:06:00,TypeA,10000
140903377_offer_151,140903377,2013-03-26 10:20:00,TypeA,7500
141012212_offer_151,141012212,2013-03-26 10:07:00,TypeA,7500
141132609_offer_151,141132609,2013-03-30 10:42:00,TypeB,12500
141269777_offer_151,141269777,2013-03-25 11:40:00,TypeA,7500
141333179_offer_151,141333179,2013-04-04 09:21:00,TypeA,10000
141429559_offer_151,141429559,2013-04-26 10:50:00,TypeB,20000
141445339_offer_151,141445339,2013-04-28 11:47:00,TypeB,20000
141529025_offer_151,141529025,2013-04-01 11:01:00,TypeA,7500
141571232_offer_151,141571232,2013-04-06 09:12:00,TypeA,10000
141695123_offer_151,141695123,2013-03-25 11:36:00,TypeA,7500
141707758_offer_151,141707758,2013-04-25 11:04:00,TypeB,20000
141716918_offer_151,141716918,2013-03-26 10:17:00,TypeA,7500
141733248_offer_151,141733248,2013-03-31 11:50:00,TypeB,12500
141747262_offer_151,141747262,2013-04-17 10:23:00,TypeA,7500
141948329_offer_151,141948329,2013-04-17 09:31:00,TypeA,7500
141948424_offer_151,141948424,2013-04-10 09:34:00,TypeB,12500
142016424_offer_151,142016424,2013-04-04 09:40:00,TypeA,10000
142056666_offer_151,142056666,2013-04-23 10:32:00,TypeC,30000
142060806_offer_151,142060806,2013-03-25 10:03:00,TypeA,7500
142200874_offer_151,142200874,2013-04-07 10:27:00,TypeA,10000
142315351_offer_151,142315351,2013-04-25 10:48:00,TypeB,20000
142333435_offer_151,142333435,2013-04-28 09:10:00,TypeC,30000
142364517_offer_151,142364517,2013-04-05 09:51:00,TypeB,15000
142433435_offer_151,142433435,2013-04-28 10:16:00,TypeB,20000
142438512_offer_151,142438512,2013-04-05 10:39:00,TypeA,10000
142458481_offer_151,142458481,2013-03-25 11:46:00,TypeA,7500
142476861_offer_151,142476861,2013-04-07 10:23:00,TypeA,10000
142671214_offer_151,142671214,2013-03-25 10:33:00,TypeA,7500
142713532_offer_151,142713532,2013-03-29 11:28:00,TypeA,7500
142741080_offer_151,142741080,2013-03-27 10:20:00,TypeA,7500
142802179_offer_151,142802179,2013-03-27 11:57:00,TypeA,7500
142870032_offer_151,142870032,2013-03-30 10:17:00,TypeA,7500
142872937_offer_151,142872937,2013-03-25 09:03:00,TypeA,7500
142914670_offer_151,142914670,2013-04-30 09:53:00,TypeB,20000
142923562_offer_151,142923562,2013-04-22 11:09:00,TypeB,20000
142965524_offer_151,142965524,2013-03-25 09:49:00,TypeA,7500
143064054_offer_151,143064054,2013-03-25 11:20:00,TypeA,7500
143100642_offer_151,143100642,2013-04-07 11:21:00,TypeA,10000
143167910_offer_151,143167910,2013-03-31 09:03:00,TypeA,7500
143221955_offer_151,143221955,2013-03-27 10:04:00,TypeA,7500
143271733_offer_151,143271733,2013-04-21 09:46:00,TypeA,10000
143312525_offer_151,143312525,2013-04-03 10:06:00,TypeA,7500
143347839_offer_151,143347839,2013-03-30 10:03:00,TypeB,12500
143388023_offer_151,143388023,2013-03-25 09:49:00,TypeA,7500
143473151_offer_151,143473151,2013-03-26 09:22:00,TypeA,7500
143648108_offer_151,143648108,2013-03-30 09:33:00,TypeA,7500
143678325_offer_151,143678325,2013-03-25 09:00:00,TypeA,7500
143687946_offer_151,143687946,2013-03-29 11:57:00,TypeA,7500
143703998_offer_151,143703998,2013-03-26 10:40:00,TypeA,7500
143780517_offer_151,143780517,2013-04-25 10:53:00,TypeC,30000
143785979_offer_151,143785979,2013-03-25 11:55:00,TypeA,7500
143822617_offer_151,143822617,2013-03-28 10:47:00,TypeA,7500
143823400_offer_151,143823400,2013-03-25 09:54:00,TypeA,7500
143842181_offer_151,143842181,2013-04-24 09:11:00,TypeC,30000
143876122_offer_151,143876122,2013-04-20 09:48:00,TypeA,7500
143942040_offer_151,143942040,2013-04-16 10:36:00,TypeA,7500
143949299_offer_151,143949299,2013-04-02 11:42:00,TypeA,7500
143982682_offer_151,143982682,2013-04-23 10:25:00,TypeA,7500
143995207_offer_151,143995207,2013-03-31 10:25:00,TypeA,7500
144096617_offer_151,144096617,2013-04-08 10:40:00,TypeA,10000
144173667_offer_151,144173667,2013-04-03 09:54:00,TypeB,12500
144190641_offer_151,144190641,2013-03-31 09:26:00,TypeB,12500
144259889_offer_151,144259889,2013-04-26 11:22:00,TypeB,20000
144315262_offer_151,144315262,2013-04-13 10:11:00,TypeB,15000
144342426_offer_151,144342426,2013-04-04 11:37:00,TypeA,10000
144344253_offer_151,144344253,2013-03-30 11:45:00,TypeA,7500
144355311_offer_151,144355311,2013-03-26 10:21:00,TypeA,7500
144432578_offer_151,144432578,2013-03-26 10:00:00,TypeA,7500
144482242_offer_151,144482242,2013-03-28 10:51:00,TypeA,7500
144584316_offer_151,144584316,2013-04-18 11:48:00,TypeA,7500
144603582_offer_151,144603582,2013-03-30 09:02:00,TypeB,12500
144663359_offer_151,144663359,2013-04-23 11:55:00,TypeC,30000
144902455_offer_151,144902455,2013-03-28 09:10:00,TypeA,7500
144956971_offer_151,144956971,2013-03-28 11:19:00,TypeA,7500
170763324_offer_151,170763324,2013-04-26 10:53:00,TypeB,20000
172109461_offer_151,172109461,2013-03-26 10:20:00,TypeA,7500
172588777_offer_151,172588777,2013-04-05 09:06:00,TypeA,10000
